Province,State,Month,Death,Cases,Total
,,Jan,97194,6051888,6149082
,,Feb,65623,2336398,2402021
,,Mar,37504,1776176,1813680
,,Apr,23790,1861948,1885738
,,May,18174,898648,916822
,,Jun,10327,387088,397415
,,Jul,8739,1304939,1313678
,,Aug,27828,4192845,4220673
,,Sep,56671,4204003,4260674
Alabama,Alabama,Jan,2861,95552,98413
Alabama,Alabama,Feb,2241,31372,33613
Alabama,Alabama,Mar,625,21511,22136
Alabama,Alabama,Apr,342,12192,12534
Alabama,Alabama,May,250,15233,15483
Alabama,Alabama,Jun,206,7372,7578
Alabama,Alabama,Jul,184,34440,34624
Alabama,Alabama,Aug,747,113375,114122
Alabama,Alabama,Sep,2016,94730,96746
Alaska,Alaska,Jan,56,7280,7336
Alaska,Alaska,Feb,28,3918,3946
Alaska,Alaska,Mar,23,4582,4605
Alaska,Alaska,Apr,34,5213,5247
Alaska,Alaska,May,22,2038,2060
Alaska,Alaska,Jun,8,1059,1067
Alaska,Alaska,Jul,12,4199,4211
Alaska,Alaska,Aug,55,13006,13061
Alaska,Alaska,Sep,133,25985,26118
American Samoa,American Samoa,Jan,0,0,0
American Samoa,American Samoa,Feb,0,0,0
American Samoa,American Samoa,Mar,0,0,0
American Samoa,American Samoa,Apr,0,0,0
American Samoa,American Samoa,May,0,0,0
American Samoa,American Samoa,Jun,0,0,0
American Samoa,American Samoa,Jul,0,0,0
American Samoa,American Samoa,Aug,0,0,0
American Samoa,American Samoa,Sep,0,0,0
Arizona,Arizona,Jan,4256,233941,238197
Arizona,Arizona,Feb,2860,55518,58378
Arizona,Arizona,Mar,987,24042,25029
Arizona,Arizona,Apr,357,20329,20686
Arizona,Arizona,May,304,18649,18953
Arizona,Arizona,Jun,308,13117,13425
Arizona,Arizona,Jul,310,32050,32360
Arizona,Arizona,Aug,540,84148,84688
Arizona,Arizona,Sep,1198,80462,81660
Arkansas,Arkansas,Jan,1192,68938,70130
Arkansas,Arkansas,Feb,375,26772,27147
Arkansas,Arkansas,Mar,383,7600,7983
Arkansas,Arkansas,Apr,113,5214,5327
Arkansas,Arkansas,May,94,5562,5656
Arkansas,Arkansas,Jun,76,7928,8004
Arkansas,Arkansas,Jul,232,36835,37067
Arkansas,Arkansas,Aug,793,65646,66439
Arkansas,Arkansas,Sep,757,42429,43186
California,California,Jan,14994,983631,998625
California,California,Feb,11621,231708,243329
California,California,Mar,6373,94795,101168
California,California,Apr,2463,70895,73358
California,California,May,1263,46189,47452
California,California,Jun,813,26173,26986
California,California,Jul,888,143829,144717
California,California,Aug,1448,398151,399599
California,California,Sep,3257,356289,359546
Colorado,Colorado,Jan,826,61262,62088
Colorado,Colorado,Feb,311,31807,32118
Colorado,Colorado,Mar,156,33622,33778
Colorado,Colorado,Apr,188,48697,48885
Colorado,Colorado,May,285,31923,32208
Colorado,Colorado,Jun,214,14403,14617
Colorado,Colorado,Jul,151,17140,17291
Colorado,Colorado,Aug,197,40599,40796
Colorado,Colorado,Sep,401,55084,55485
Connecticut,Connecticut,Jan,1051,63264,64315
Connecticut,Connecticut,Feb,576,29347,29923
Connecticut,Connecticut,Mar,267,30411,30678
Connecticut,Connecticut,Apr,208,28401,28609
Connecticut,Connecticut,May,141,7967,8108
Connecticut,Connecticut,Jun,40,1971,2011
Connecticut,Connecticut,Jul,15,4968,4983
Connecticut,Connecticut,Aug,65,18672,18737
Connecticut,Connecticut,Sep,271,17002,17273
Delaware,Delaware,Jan,244,20371,20615
Delaware,Delaware,Feb,117,8611,8728
Delaware,Delaware,Mar,137,7866,8003
Delaware,Delaware,Apr,66,9537,9603
Delaware,Delaware,May,36,4425,4461
Delaware,Delaware,Jun,33,845,878
Delaware,Delaware,Jul,139,1524,1663
Delaware,Delaware,Aug,47,8398,8445
Delaware,Delaware,Sep,74,13037,13111
Diamond Princess,Diamond Princess,Jan,0,0,0
Diamond Princess,Diamond Princess,Feb,0,0,0
Diamond Princess,Diamond Princess,Mar,0,0,0
Diamond Princess,Diamond Princess,Apr,0,0,0
Diamond Princess,Diamond Princess,May,0,0,0
Diamond Princess,Diamond Princess,Jun,0,0,0
Diamond Princess,Diamond Princess,Jul,0,0,0
Diamond Princess,Diamond Princess,Aug,0,0,0
Diamond Princess,Diamond Princess,Sep,0,0,0
District of Columbia,District of Columbia,Jan,127,7762,7889
District of Columbia,District of Columbia,Feb,104,3622,3726
District of Columbia,District of Columbia,Mar,47,3868,3915
District of Columbia,District of Columbia,Apr,41,3143,3184
District of Columbia,District of Columbia,May,27,1174,1201
District of Columbia,District of Columbia,Jun,9,448,457
District of Columbia,District of Columbia,Jul,8,1035,1043
District of Columbia,District of Columbia,Aug,11,5022,5033
District of Columbia,District of Columbia,Sep,14,5708,5722
Florida,Florida,Jan,4806,393256,398062
Florida,Florida,Feb,4373,183471,187844
Florida,Florida,Mar,2573,145941,148514
Florida,Florida,Apr,1736,174047,175783
Florida,Florida,May,1613,85687,87300
Florida,Florida,Jun,998,43648,44646
Florida,Florida,Jul,1307,267463,268770
Florida,Florida,Aug,5482,610738,616220
Florida,Florida,Sep,10448,336977,347425
Georgia,Georgia,Jan,3264,239729,242993
Georgia,Georgia,Feb,3097,93979,97076
Georgia,Georgia,Mar,1760,51267,53027
Georgia,Georgia,Apr,1135,39504,40639
Georgia,Georgia,May,647,23007,23654
Georgia,Georgia,Jun,586,10146,10732
Georgia,Georgia,Jul,253,44623,44876
Georgia,Georgia,Aug,1064,223069,224133
Georgia,Georgia,Sep,3344,171790,175134
Grand Princess,Grand Princess,Jan,0,0,0
Grand Princess,Grand Princess,Feb,0,0,0
Grand Princess,Grand Princess,Mar,0,0,0
Grand Princess,Grand Princess,Apr,0,0,0
Grand Princess,Grand Princess,May,0,0,0
Grand Princess,Grand Princess,Jun,0,0,0
Grand Princess,Grand Princess,Jul,0,0,0
Grand Princess,Grand Princess,Aug,0,0,0
Grand Princess,Grand Princess,Sep,0,0,0
Guam,Guam,Jan,8,263,271
Guam,Guam,Feb,2,155,157
Guam,Guam,Mar,3,68,71
Guam,Guam,Apr,2,155,157
Guam,Guam,May,3,189,192
Guam,Guam,Jun,1,200,201
Guam,Guam,Jul,3,181,184
Guam,Guam,Aug,6,2012,2018
Guam,Guam,Sep,48,4434,4482
Hawaii,Hawaii,Jan,122,4467,4589
Hawaii,Hawaii,Feb,29,1755,1784
Hawaii,Hawaii,Mar,24,2350,2374
Hawaii,Hawaii,Apr,20,3077,3097
Hawaii,Hawaii,May,17,2408,2425
Hawaii,Hawaii,Jun,17,1465,1482
Hawaii,Hawaii,Jul,20,4632,4652
Hawaii,Hawaii,Aug,52,21040,21092
Hawaii,Hawaii,Sep,193,15511,15704
Idaho,Idaho,Jan,289,21317,21606
Idaho,Idaho,Feb,135,8322,8457
Idaho,Idaho,Mar,102,9294,9396
Idaho,Idaho,Apr,84,7036,7120
Idaho,Idaho,May,44,4312,4356
Idaho,Idaho,Jun,62,2924,2986
Idaho,Idaho,Jul,45,5441,5486
Idaho,Idaho,Aug,166,20739,20905
Idaho,Idaho,Sep,544,35389,35933
Illinois,Illinois,Jan,3275,160196,163471
Illinois,Illinois,Feb,1482,59147,60629
Illinois,Illinois,Mar,844,57101,57945
Illinois,Illinois,Apr,712,89797,90509
Illinois,Illinois,May,932,46279,47211
Illinois,Illinois,Jun,437,9185,9622
Illinois,Illinois,Jul,213,27660,27873
Illinois,Illinois,Aug,513,102771,103284
